error_code,failure_class,payment_method,amount_paise,past_successes,past_failures,hour_of_day,is_international,retry_count,card_network,recommended_action
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,180577,12,1,9,0,2,N/A,use_different_method
pin_attempts_exceeded,HARD_METHOD_DEAD,card,196364,2,0,20,0,0,AMEX,use_different_card
incorrect_card_expiry_date,SOFT_RETRYABLE,card,299900,13,4,20,0,3,Visa,check_card_details
incorrect_cvv,SOFT_RETRYABLE,card,255783,15,0,22,0,1,Visa,retry_now
pin_attempts_exceeded,HARD_METHOD_DEAD,card,177948,4,3,21,0,0,RuPay,use_different_card
psp_app_not_available,NETWORK_TIMEOUT,card,183480,8,4,13,0,1,Visa,retry_later
deemed_transaction,SOFT_RETRYABLE,card,999000,14,3,16,0,2,Visa,retry_later
card_network_not_enabled,HARD_METHOD_DEAD,card,999000,6,7,16,0,1,Mastercard,use_different_card
mcc_amount_limit_exceeded,HARD_METHOD_DEAD,upi,342997,5,0,20,0,1,N/A,use_different_method
payment_risk_check_failed,RISK_FLAGGED,netbanking,110904,9,0,10,0,0,N/A,vendor_review
card_number_invalid,SOFT_RETRYABLE,netbanking,332163,16,1,10,0,2,N/A,check_card_details
psp_app_not_supported,HARD_METHOD_DEAD,upi,99900,8,0,11,0,0,N/A,use_different_method
card_network_not_enabled,HARD_METHOD_DEAD,card,907687,14,8,10,0,0,RuPay,use_different_card
incorrect_card_expiry_date,SOFT_RETRYABLE,netbanking,92113,7,3,20,0,1,N/A,check_card_details
otp_attempts_exceeded,HARD_METHOD_DEAD,card,99990,0,1,16,0,0,RuPay,use_different_card
card_type_invalid,HARD_METHOD_DEAD,card,299900,5,4,15,0,1,Visa,use_different_card
payment_amount_tampered,RISK_FLAGGED,card,164690,15,0,22,0,0,Mastercard,vendor_review
payment_risk_check_failed,RISK_FLAGGED,upi,199275,3,1,17,0,0,N/A,vendor_review
card_network_not_enabled,HARD_METHOD_DEAD,card,54956,5,3,21,0,0,Visa,use_different_card
card_type_invalid,HARD_METHOD_DEAD,card,600323,2,1,22,0,0,Visa,use_different_card
incorrect_card_details,SOFT_RETRYABLE,card,26491,8,8,21,0,2,RuPay,check_card_details
insufficient_funds,SOFT_RETRYABLE,card,124065,19,0,3,0,2,Visa,retry_later
payment_timed_out,NETWORK_TIMEOUT,card,244560,20,0,19,0,4,RuPay,retry_now
insufficient_funds,SOFT_RETRYABLE,netbanking,360008,12,0,3,0,1,N/A,retry_later
card_not_enrolled,HARD_METHOD_DEAD,card,999000,5,2,13,0,0,RuPay,enable_online_transactions
card_number_invalid,SOFT_RETRYABLE,card,303615,10,2,14,0,1,Visa,check_card_details
mandate_creation_expired,SOFT_RETRYABLE,upi,445633,14,3,16,0,2,N/A,retry_now
payment_amount_tampered,RISK_FLAGGED,upi,85292,8,0,8,0,1,N/A,vendor_review
gateway_error,NETWORK_TIMEOUT,card,93102,16,8,16,0,4,RuPay,retry_later
credit_failed,SOFT_RETRYABLE,upi,199581,12,1,15,0,3,N/A,use_different_method
card_type_invalid,HARD_METHOD_DEAD,card,99990,8,1,10,0,0,RuPay,use_different_card
gateway_technical_error,NETWORK_TIMEOUT,upi,41265,14,1,16,0,5,N/A,retry_later
payment_timed_out,NETWORK_TIMEOUT,card,166599,14,1,17,0,3,Visa,retry_now
payment_risk_check_failed,RISK_FLAGGED,upi,64287,4,4,10,0,0,N/A,vendor_review
invalid_amount,UNKNOWN,card,143474,7,2,15,0,3,Visa,contact_support
payment_cancelled,SOFT_RETRYABLE,netbanking,59868,10,3,4,0,1,N/A,retry_now
psp_not_available,NETWORK_TIMEOUT,netbanking,11911,14,1,12,0,4,N/A,retry_later
bank_technical_error,NETWORK_TIMEOUT,card,479672,9,1,22,0,3,Mastercard,retry_later
credit_failed,SOFT_RETRYABLE,upi,727427,20,4,11,0,2,N/A,use_different_method
credit_failed,SOFT_RETRYABLE,upi,41907,12,2,5,0,2,N/A,use_different_method
card_network_not_enabled,HARD_METHOD_DEAD,card,43189,5,3,14,0,0,Visa,use_different_card
service_unavailable,NETWORK_TIMEOUT,card,132681,10,1,15,0,3,Visa,retry_later
invalid_vpa,SOFT_RETRYABLE,upi,643807,0,5,1,0,3,N/A,retry_now
payment_risk_check_failed,RISK_FLAGGED,upi,91281,3,4,21,0,1,N/A,vendor_review
psp_not_available,NETWORK_TIMEOUT,card,27124,3,1,12,0,4,RuPay,retry_later
credit_failed,SOFT_RETRYABLE,upi,299900,19,1,3,0,1,N/A,use_different_method
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,691672,3,1,11,0,2,N/A,use_different_method
record_not_found,NETWORK_TIMEOUT,upi,99900,13,7,19,0,1,N/A,retry_later
payment_amount_tampered,RISK_FLAGGED,card,299900,1,0,16,0,1,RuPay,vendor_review
merchant_not_activated,UNKNOWN,card,185742,1,1,14,1,0,Mastercard,contact_support
order_already_paid,UNKNOWN,netbanking,972649,20,1,13,0,3,N/A,no_action
incorrect_cvv,SOFT_RETRYABLE,card,26405,15,0,17,0,1,RuPay,retry_now
incorrect_cvv,SOFT_RETRYABLE,card,26938,12,4,10,0,2,RuPay,retry_now
gateway_error,NETWORK_TIMEOUT,card,78855,4,0,15,0,2,Mastercard,retry_later
merchant_not_activated,UNKNOWN,card,103983,0,1,20,0,2,Mastercard,contact_support
payment_risk_check_failed,RISK_FLAGGED,card,81774,10,1,14,0,1,Visa,vendor_review
emi_plan_unavailable,HARD_METHOD_DEAD,netbanking,299900,16,1,12,0,0,N/A,use_different_method
card_not_enrolled,HARD_METHOD_DEAD,card,111858,14,0,21,0,0,Visa,enable_online_transactions
compliance_violation,UNKNOWN,upi,198242,5,6,14,0,0,N/A,contact_support
payment_collect_request_expired,SOFT_RETRYABLE,upi,491544,10,4,22,0,2,N/A,retry_now
vpa_resolution_failed,NETWORK_TIMEOUT,upi,190795,7,0,14,0,3,N/A,retry_later
invalid_vpa,SOFT_RETRYABLE,upi,13918,3,2,17,0,2,N/A,retry_now
psp_not_registered,HARD_METHOD_DEAD,upi,99900,9,0,17,0,0,N/A,use_different_method
gateway_technical_error,NETWORK_TIMEOUT,card,73683,11,1,19,0,2,RuPay,retry_later
bank_account_invalid,HARD_METHOD_DEAD,upi,999000,2,1,18,0,0,N/A,use_different_method
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,50933,12,2,16,0,2,N/A,use_different_method
payment_pending,SOFT_RETRYABLE,netbanking,246106,10,0,16,0,2,N/A,retry_later
incorrect_card_details,SOFT_RETRYABLE,card,79447,11,6,21,0,2,Visa,check_card_details
incorrect_card_details,SOFT_RETRYABLE,card,185819,3,7,17,0,3,Mastercard,check_card_details
payment_amount_tampered,RISK_FLAGGED,upi,199900,5,2,18,0,1,N/A,vendor_review
service_unavailable,NETWORK_TIMEOUT,card,21735,13,2,18,0,4,Visa,retry_later
payment_risk_check_failed,RISK_FLAGGED,upi,99900,5,4,22,0,1,N/A,vendor_review
emi_plan_unavailable,HARD_METHOD_DEAD,netbanking,99990,17,1,21,0,1,N/A,use_different_method
transaction_daily_count_exceeded,SOFT_RETRYABLE,card,95957,19,2,11,0,1,Visa,use_different_method
compliance_violation,UNKNOWN,upi,21004,3,1,4,0,2,N/A,contact_support
mandate_creation_declined,HARD_METHOD_DEAD,upi,49990,2,0,15,0,1,N/A,use_different_method
mandate_creation_expired,SOFT_RETRYABLE,upi,475955,1,1,4,0,1,N/A,retry_now
invalid_device,HARD_METHOD_DEAD,upi,99990,9,0,14,0,1,N/A,use_different_method
payment_session_expired,SOFT_RETRYABLE,netbanking,299900,11,0,18,0,1,N/A,retry_now
upi_app_technical_error,NETWORK_TIMEOUT,netbanking,172585,18,3,11,0,4,N/A,retry_later
payment_amount_tampered,RISK_FLAGGED,card,383184,18,1,15,0,2,Visa,vendor_review
mandate_creation_expired,SOFT_RETRYABLE,upi,117936,1,6,12,0,2,N/A,retry_now
payment_risk_check_failed,RISK_FLAGGED,card,169077,5,4,11,1,0,RuPay,vendor_review
psp_app_not_available,NETWORK_TIMEOUT,card,19990,14,1,15,0,3,Mastercard,retry_later
incorrect_otp,SOFT_RETRYABLE,netbanking,912207,20,2,17,1,2,N/A,retry_now
card_declined,HARD_METHOD_DEAD,card,92246,1,2,4,1,0,RuPay,use_different_method
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,595467,16,0,14,1,1,N/A,use_different_method
payment_amount_tampered,RISK_FLAGGED,card,632710,0,2,22,1,1,Visa,vendor_review
otp_attempts_exceeded,HARD_METHOD_DEAD,card,150579,4,0,15,0,0,RuPay,use_different_card
card_network_not_enabled,HARD_METHOD_DEAD,card,49990,4,0,14,0,1,Visa,use_different_card
record_not_found,NETWORK_TIMEOUT,card,183717,20,7,20,0,3,RuPay,retry_later
payment_pending,SOFT_RETRYABLE,card,99990,9,7,12,0,4,Visa,retry_later
collect_on_mcc_blocked,HARD_METHOD_DEAD,upi,46428,3,0,17,0,1,N/A,use_different_method
pin_not_set,HARD_METHOD_DEAD,upi,299900,2,0,12,0,0,N/A,use_different_method
transaction_on_vpa_restricted,HARD_METHOD_DEAD,upi,171990,7,6,22,0,1,N/A,use_different_method
incorrect_card_expiry_date,SOFT_RETRYABLE,card,299900,1,2,22,0,1,RuPay,check_card_details
payment_session_expired,SOFT_RETRYABLE,card,175254,3,8,17,0,2,Visa,retry_now
mcc_amount_limit_exceeded,HARD_METHOD_DEAD,upi,66604,6,5,16,0,0,N/A,use_different_method
card_type_invalid,HARD_METHOD_DEAD,card,331290,2,7,20,0,0,Mastercard,use_different_card
incorrect_atm_pin,SOFT_RETRYABLE,netbanking,89216,9,6,10,0,4,N/A,retry_now
payment_cancelled,SOFT_RETRYABLE,card,49990,13,1,22,0,1,Visa,retry_now
payment_session_expired,SOFT_RETRYABLE,card,118731,8,3,15,0,1,Visa,retry_now
psp_not_available,NETWORK_TIMEOUT,card,28365,3,1,19,0,5,RuPay,retry_later
credit_limit_inactive,HARD_METHOD_DEAD,netbanking,299900,6,1,16,0,1,N/A,use_different_method
payment_session_expired,SOFT_RETRYABLE,card,188049,11,2,13,0,1,Visa,retry_now
upi_app_technical_error,NETWORK_TIMEOUT,card,49990,3,2,8,0,4,Mastercard,retry_later
transaction_daily_limit_exceeded,SOFT_RETRYABLE,card,391584,15,0,18,1,1,RuPay,use_different_method
invalid_device,HARD_METHOD_DEAD,upi,142888,18,1,19,0,0,N/A,use_different_method
mcc_amount_limit_exceeded,HARD_METHOD_DEAD,upi,58181,4,0,14,0,1,N/A,use_different_method
incorrect_cardholder_name,SOFT_RETRYABLE,card,122250,12,3,12,0,2,Visa,check_card_details
order_amount_mismatch,UNKNOWN,card,154028,10,1,15,0,2,Visa,retry_now
transaction_limit_exceeded,SOFT_RETRYABLE,card,697465,8,0,10,0,2,RuPay,use_different_method
bank_account_invalid,HARD_METHOD_DEAD,upi,19990,3,1,9,0,1,N/A,use_different_method
gateway_error,NETWORK_TIMEOUT,card,81097,9,9,4,0,2,RuPay,retry_later
card_number_invalid,SOFT_RETRYABLE,card,49990,18,3,19,0,1,Visa,check_card_details
payment_risk_check_failed,RISK_FLAGGED,card,113079,9,0,5,0,2,RuPay,vendor_review
service_unavailable,NETWORK_TIMEOUT,card,21625,13,0,10,0,2,RuPay,retry_later
transaction_daily_count_exceeded,SOFT_RETRYABLE,netbanking,49990,17,0,11,0,2,N/A,use_different_method
payment_timed_out,NETWORK_TIMEOUT,upi,300989,16,1,20,0,2,N/A,retry_now
pin_not_set,HARD_METHOD_DEAD,upi,63048,14,2,20,0,1,N/A,use_different_method
invalid_order_id,UNKNOWN,card,53104,3,3,20,0,0,Mastercard,retry_now
mandate_creation_timeout,NETWORK_TIMEOUT,card,362943,14,2,11,0,2,Visa,retry_later
mandate_creation_expired,SOFT_RETRYABLE,upi,71612,15,4,7,0,2,N/A,retry_now
record_not_found,NETWORK_TIMEOUT,upi,17994,16,6,18,0,3,N/A,retry_later
payment_session_expired,SOFT_RETRYABLE,card,17192,11,2,10,0,2,Visa,retry_now
incorrect_cvv,SOFT_RETRYABLE,card,105837,10,3,10,0,1,RuPay,retry_now
incorrect_atm_pin,SOFT_RETRYABLE,card,420291,10,6,16,0,2,Mastercard,retry_now
record_not_found,NETWORK_TIMEOUT,upi,61418,11,3,10,0,5,N/A,retry_later
otp_attempts_exceeded,HARD_METHOD_DEAD,card,99990,1,0,3,1,0,Mastercard,use_different_card
order_already_paid,UNKNOWN,netbanking,99900,5,3,7,0,1,N/A,no_action
authentication_failed,SOFT_RETRYABLE,netbanking,40592,16,3,19,0,3,N/A,retry_now
payment_risk_check_failed,RISK_FLAGGED,netbanking,87450,16,6,16,0,0,N/A,vendor_review
mandate_creation_timeout,NETWORK_TIMEOUT,card,29458,8,0,13,0,3,RuPay,retry_later
emi_plan_unavailable,HARD_METHOD_DEAD,netbanking,169368,1,0,20,0,0,N/A,use_different_method
upi_app_technical_error,NETWORK_TIMEOUT,upi,88926,1,0,18,0,3,N/A,retry_later
payment_risk_check_failed,RISK_FLAGGED,card,72673,17,3,16,0,1,RuPay,vendor_review
credit_failed,SOFT_RETRYABLE,upi,75079,11,4,22,0,4,N/A,use_different_method
server_error,NETWORK_TIMEOUT,upi,999000,8,0,19,0,3,N/A,retry_later
pin_attempts_exceeded,HARD_METHOD_DEAD,card,757114,5,3,12,0,0,RuPay,use_different_card
upi_app_technical_error,NETWORK_TIMEOUT,upi,109643,19,3,13,0,4,N/A,retry_later
payment_pending,SOFT_RETRYABLE,card,97292,18,6,10,1,2,Visa,retry_later
service_unavailable,NETWORK_TIMEOUT,card,98246,10,7,11,0,2,Mastercard,retry_later
transaction_daily_count_exceeded,SOFT_RETRYABLE,card,70061,12,9,20,0,1,AMEX,use_different_method
verification_failed,NETWORK_TIMEOUT,card,17255,13,3,16,0,3,AMEX,retry_later
order_already_paid,UNKNOWN,netbanking,84189,6,0,14,0,1,N/A,no_action
payment_risk_check_failed,RISK_FLAGGED,card,408722,18,1,19,0,0,RuPay,vendor_review
payment_collect_request_expired,SOFT_RETRYABLE,upi,241019,11,8,16,0,1,N/A,retry_now
request_timed_out,NETWORK_TIMEOUT,upi,299900,11,1,13,0,3,N/A,retry_now
card_disabled_for_online_payments,HARD_METHOD_DEAD,card,499900,4,4,16,0,0,Visa,enable_online_transactions
card_number_invalid,SOFT_RETRYABLE,card,999000,11,2,10,0,2,Mastercard,check_card_details
user_not_registered_for_netbanking,HARD_METHOD_DEAD,netbanking,21001,10,2,7,0,0,N/A,use_different_method
payment_session_expired,SOFT_RETRYABLE,card,49990,10,1,14,0,3,Mastercard,retry_now
payment_timed_out,NETWORK_TIMEOUT,card,53444,16,1,14,0,4,RuPay,retry_now
duplicate_request,UNKNOWN,card,162685,3,8,9,0,1,AMEX,no_action
debit_instrument_inactive,HARD_METHOD_DEAD,card,259611,18,0,5,0,0,AMEX,contact_bank
psp_not_available,NETWORK_TIMEOUT,upi,236160,16,4,17,0,3,N/A,retry_later
transaction_daily_count_exceeded,SOFT_RETRYABLE,card,72714,12,2,22,0,1,AMEX,use_different_method
mcc_amount_limit_exceeded,HARD_METHOD_DEAD,upi,19990,9,1,10,0,0,N/A,use_different_method
invalid_order_id,UNKNOWN,card,19990,6,2,19,0,0,Mastercard,retry_now
invalid_device,HARD_METHOD_DEAD,upi,199900,3,6,21,0,0,N/A,use_different_method
payment_session_expired,SOFT_RETRYABLE,card,69203,9,1,3,1,2,Visa,retry_now
credit_limit_exceeded,HARD_METHOD_DEAD,netbanking,143284,7,8,16,0,0,N/A,use_different_method
payment_collect_request_expired,SOFT_RETRYABLE,upi,100484,14,0,2,0,3,N/A,retry_now
incorrect_pin,SOFT_RETRYABLE,card,79068,19,1,16,0,2,RuPay,retry_now
service_unavailable,NETWORK_TIMEOUT,upi,270128,8,0,15,0,3,N/A,retry_later
incorrect_card_details,SOFT_RETRYABLE,card,184476,18,0,14,0,2,Mastercard,check_card_details
incorrect_cvv,SOFT_RETRYABLE,card,999000,19,2,20,0,3,Mastercard,retry_now
payment_collect_request_expired,SOFT_RETRYABLE,upi,49990,5,1,22,0,2,N/A,retry_now
credit_failed,SOFT_RETRYABLE,upi,199516,14,2,3,0,2,N/A,use_different_method
payment_amount_tampered,RISK_FLAGGED,card,261445,12,0,18,0,2,Mastercard,vendor_review
bank_not_available,NETWORK_TIMEOUT,upi,498784,9,0,15,0,2,N/A,retry_later
compliance_violation,UNKNOWN,upi,63848,17,9,4,0,0,N/A,contact_support
transaction_daily_count_exceeded,SOFT_RETRYABLE,card,135122,13,1,22,0,1,Mastercard,use_different_method
transaction_daily_limit_exceeded,SOFT_RETRYABLE,netbanking,176179,0,4,21,0,2,N/A,use_different_method
payment_amount_tampered,RISK_FLAGGED,upi,49990,4,0,12,0,0,N/A,vendor_review
card_declined,HARD_METHOD_DEAD,card,102035,1,5,10,0,0,AMEX,use_different_method
payment_amount_tampered,RISK_FLAGGED,netbanking,99990,3,1,5,0,1,N/A,vendor_review
card_declined,HARD_METHOD_DEAD,card,299900,0,2,17,1,0,RuPay,use_different_method
invalid_amount,UNKNOWN,card,199900,10,0,14,0,2,RuPay,contact_support
incorrect_atm_pin,SOFT_RETRYABLE,netbanking,89895,13,1,20,0,4,N/A,retry_now
gateway_technical_error,NETWORK_TIMEOUT,card,999000,9,1,7,0,1,Mastercard,retry_later
vpa_resolution_failed,NETWORK_TIMEOUT,upi,358052,6,2,16,0,1,N/A,retry_later
order_amount_mismatch,UNKNOWN,card,19207,7,8,10,0,2,Mastercard,retry_now
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,508651,13,0,10,0,2,N/A,use_different_method
mandate_creation_declined,HARD_METHOD_DEAD,upi,499900,3,1,13,0,0,N/A,use_different_method
bank_technical_error,NETWORK_TIMEOUT,upi,41178,2,0,17,0,1,N/A,retry_later
card_expired,HARD_METHOD_DEAD,card,121374,6,1,21,0,0,RuPay,use_different_card
payment_risk_check_failed,RISK_FLAGGED,upi,45549,6,0,20,0,0,N/A,vendor_review
record_not_found,NETWORK_TIMEOUT,upi,85123,14,0,10,1,4,N/A,retry_later
payment_timed_out,NETWORK_TIMEOUT,card,14535,12,6,16,0,2,RuPay,retry_now
mandate_creation_expired,SOFT_RETRYABLE,upi,16803,6,4,12,0,2,N/A,retry_now
card_type_invalid,HARD_METHOD_DEAD,card,138120,7,1,17,0,1,AMEX,use_different_card
collect_on_mcc_blocked,HARD_METHOD_DEAD,upi,99900,18,0,20,0,1,N/A,use_different_method
credit_failed,SOFT_RETRYABLE,upi,41117,10,8,4,0,1,N/A,use_different_method
payment_amount_tampered,RISK_FLAGGED,upi,166148,1,4,19,0,1,N/A,vendor_review
transaction_daily_count_exceeded,SOFT_RETRYABLE,netbanking,141589,11,0,4,0,2,N/A,use_different_method
payment_cancelled,SOFT_RETRYABLE,card,37115,11,1,2,0,2,RuPay,retry_now
debit_instrument_blocked,HARD_METHOD_DEAD,card,56527,5,0,12,1,0,Mastercard,contact_bank
pin_attempts_exceeded,HARD_METHOD_DEAD,card,25819,0,5,4,0,0,Mastercard,use_different_card
input_validation_failed,UNKNOWN,card,12757,20,0,22,0,3,RuPay,check_card_details
payment_pending,SOFT_RETRYABLE,card,66674,16,1,20,0,2,RuPay,retry_later
incorrect_atm_pin,SOFT_RETRYABLE,card,42115,13,1,15,0,1,Visa,retry_now
payment_failed,SOFT_RETRYABLE,netbanking,81158,15,9,11,0,3,N/A,retry_later
gateway_error,NETWORK_TIMEOUT,card,38607,1,4,22,0,3,RuPay,retry_later
order_already_paid,UNKNOWN,netbanking,99900,12,7,22,0,3,N/A,no_action
transaction_limit_exceeded,SOFT_RETRYABLE,card,214689,14,1,12,0,1,AMEX,use_different_method
payment_amount_tampered,RISK_FLAGGED,card,19990,0,1,19,0,0,RuPay,vendor_review
payment_amount_tampered,RISK_FLAGGED,upi,28466,12,5,2,0,2,N/A,vendor_review
incorrect_atm_pin,SOFT_RETRYABLE,card,728945,15,8,12,0,2,RuPay,retry_now
payment_declined_due_to_high_traffic,NETWORK_TIMEOUT,card,48502,4,3,18,0,5,AMEX,retry_later
mandate_creation_expired,SOFT_RETRYABLE,upi,74935,5,3,15,0,3,N/A,retry_now
transaction_on_vpa_restricted,HARD_METHOD_DEAD,upi,19990,10,1,23,1,0,N/A,use_different_method
amount_less_than_minimum_amount,UNKNOWN,netbanking,396691,1,1,20,0,0,N/A,contact_support
card_expired,HARD_METHOD_DEAD,card,19625,4,6,11,0,1,Visa,use_different_card
psp_app_not_available,NETWORK_TIMEOUT,upi,185574,5,6,11,0,5,N/A,retry_later
gateway_error,NETWORK_TIMEOUT,netbanking,199900,2,2,4,0,1,N/A,retry_later
funds_blocked_by_mandate,HARD_METHOD_DEAD,upi,499900,9,8,11,0,0,N/A,use_different_method
card_type_invalid,HARD_METHOD_DEAD,card,59896,4,1,17,0,1,Mastercard,use_different_card
invalid_vpa,SOFT_RETRYABLE,upi,80868,10,4,10,0,3,N/A,retry_now
psp_app_not_available,NETWORK_TIMEOUT,netbanking,49990,3,6,18,0,3,N/A,retry_later
invalid_order_id,UNKNOWN,card,37672,13,0,20,0,3,Mastercard,retry_now
card_declined,HARD_METHOD_DEAD,card,82258,4,0,10,0,0,Mastercard,use_different_method
payment_timed_out,NETWORK_TIMEOUT,card,113034,18,2,14,0,4,RuPay,retry_now
mandate_creation_expired,SOFT_RETRYABLE,upi,49990,10,2,16,1,3,N/A,retry_now
credit_failed,SOFT_RETRYABLE,upi,49990,8,5,21,0,3,N/A,use_different_method
duplicate_request,UNKNOWN,card,94514,1,1,13,0,2,RuPay,no_action
invalid_device,HARD_METHOD_DEAD,upi,62772,1,5,0,0,1,N/A,use_different_method
authentication_failed,SOFT_RETRYABLE,card,343544,10,1,11,0,1,Mastercard,retry_now
psp_app_not_available,NETWORK_TIMEOUT,netbanking,121333,16,0,2,0,3,N/A,retry_later
server_error,NETWORK_TIMEOUT,netbanking,135170,13,2,21,1,5,N/A,retry_later
gateway_error,NETWORK_TIMEOUT,card,193321,19,2,16,0,3,Visa,retry_later
mandate_creation_expired,SOFT_RETRYABLE,upi,99990,12,2,20,0,1,N/A,retry_now
gateway_error,NETWORK_TIMEOUT,netbanking,185290,8,0,1,0,4,N/A,retry_later
psp_app_not_supported,HARD_METHOD_DEAD,upi,133904,17,1,19,0,0,N/A,use_different_method
card_type_invalid,HARD_METHOD_DEAD,card,187964,4,1,20,0,0,Visa,use_different_card
deemed_transaction,SOFT_RETRYABLE,card,99990,13,0,14,0,3,Visa,retry_later
gateway_technical_error,NETWORK_TIMEOUT,card,176391,12,2,13,0,4,Visa,retry_later
incorrect_atm_pin,SOFT_RETRYABLE,card,999000,20,6,4,0,3,RuPay,retry_now
payment_declined_due_to_high_traffic,NETWORK_TIMEOUT,upi,299900,7,4,22,0,4,N/A,retry_later
payment_cancelled,SOFT_RETRYABLE,card,150143,0,2,10,0,3,Mastercard,retry_now
incorrect_cardholder_name,SOFT_RETRYABLE,card,50806,5,1,12,0,1,RuPay,check_card_details
mandate_creation_timeout,NETWORK_TIMEOUT,upi,27436,9,6,13,0,5,N/A,retry_later
incorrect_atm_pin,SOFT_RETRYABLE,card,499900,5,3,12,0,1,Mastercard,retry_now
transaction_frequency_limit_exceeded,SOFT_RETRYABLE,upi,16222,14,1,18,0,3,N/A,use_different_method
otp_attempts_exceeded,HARD_METHOD_DEAD,card,135287,8,3,11,0,0,Visa,use_different_card
card_network_not_enabled,HARD_METHOD_DEAD,card,19990,4,1,18,0,0,RuPay,use_different_card
incorrect_otp,SOFT_RETRYABLE,card,458953,5,0,21,0,4,Mastercard,retry_now
gateway_error,NETWORK_TIMEOUT,netbanking,499900,17,5,20,0,4,N/A,retry_later
card_not_enrolled,HARD_METHOD_DEAD,card,99990,16,7,21,0,1,Visa,enable_online_transactions
gateway_error,NETWORK_TIMEOUT,netbanking,450639,16,3,3,0,4,N/A,retry_later
card_network_not_enabled,HARD_METHOD_DEAD,card,157331,2,1,10,0,1,RuPay,use_different_card
payment_amount_tampered,RISK_FLAGGED,card,49990,9,0,16,0,1,Mastercard,vendor_review
compliance_violation,UNKNOWN,upi,180934,1,3,15,0,1,N/A,contact_support
user_not_registered_for_netbanking,HARD_METHOD_DEAD,netbanking,76165,15,5,2,0,0,N/A,use_different_method
mandate_creation_expired,SOFT_RETRYABLE,upi,130702,3,1,11,0,2,N/A,retry_now
gateway_technical_error,NETWORK_TIMEOUT,upi,99900,16,4,20,0,3,N/A,retry_later
credit_limit_inactive,HARD_METHOD_DEAD,netbanking,438168,4,4,21,0,1,N/A,use_different_method
